,State,Make,Model,StateEncode,MakeEncode,ModelEncode
646750,55,1,22,WI,Nissan,AltimaCoupe
647009,11,1,265,FL,Nissan,Sentra
647164,42,1,19,OR,Nissan,Altima2dr
647353,3,1,22,AZ,Nissan,AltimaCoupe
647537,33,1,150,ND,Nissan,Maxima3.5
647637,43,1,20,Oh,Nissan,Altima3.5
648121,25,1,267,ME,Nissan,SentraFE+
648194,3,1,163,AZ,Nissan,MuranoLE
648924,16,1,19,IA,Nissan,Altima2dr
649342,23,1,22,MA,Nissan,AltimaCoupe
649693,17,1,255,ID,Nissan,Rogue
649729,1,1,18,AL,Nissan,Altima2017.5
649990,34,1,22,NE,Nissan,AltimaCoupe
650053,24,1,336,MD,Nissan,VersaSL
650130,50,1,22,UT,Nissan,AltimaCoupe
650134,53,1,21,Va,Nissan,Altima4dr
650179,44,1,336,PA,Nissan,VersaSL
650183,46,1,267,SC,Nissan,SentraFE+
650914,29,1,22,MS,Nissan,AltimaCoupe
651373,19,1,336,IN,Nissan,VersaSL
651705,0,1,334,AK,Nissan,Versa5dr
652164,33,1,337,ND,Nissan,VersaSV
652278,50,1,336,UT,Nissan,VersaSL
652318,21,1,18,KY,Nissan,Altima2017.5
652512,35,1,336,NH,Nissan,VersaSL
652731,36,1,164,NJ,Nissan,MuranoS
652784,34,1,271,NE,Nissan,SentraSR
652862,35,1,332,NH,Nissan,Versa1.6
653048,56,1,150,WV,Nissan,Maxima3.5
653213,2,1,19,AR,Nissan,Altima2dr
653293,26,1,151,MI,Nissan,Maxima4dr
653472,23,1,333,MA,Nissan,Versa4dr
653546,26,1,266,MI,Nissan,Sentra4dr
653832,17,1,154,ID,Nissan,MaximaSL
653840,38,1,163,NV,Nissan,MuranoLE
653948,17,1,155,ID,Nissan,MaximaSR
654090,45,1,159,RI,Nissan,Murano2WD
654107,45,1,332,RI,Nissan,Versa1.6
654239,45,1,154,RI,Nissan,MaximaSL
654251,16,1,266,IA,Nissan,Sentra4dr
654305,35,1,164,NH,Nissan,MuranoS
654441,35,1,160,NH,Nissan,Murano4dr
654461,29,1,267,MS,Nissan,SentraFE+
654618,56,1,166,WV,Nissan,MuranoSV
654749,26,1,270,MI,Nissan,SentraSL
654883,7,1,336,CT,Nissan,VersaSL
654973,35,1,156,NH,Nissan,MaximaSV
654981,34,1,153,NE,Nissan,MaximaS
655080,28,1,18,MO,Nissan,Altima2017.5
655126,10,1,266,DE,Nissan,Sentra4dr
655216,52,1,160,VT,Nissan,Murano4dr
655266,38,1,336,NV,Nissan,VersaSL
655308,13,1,169,GA,Nissan,NV200
655341,44,1,141,PA,Nissan,LEAF4dr
655441,48,1,144,TN,Nissan,LEAFSV
655570,56,1,165,WV,Nissan,MuranoSL
655706,41,1,155,OK,Nissan,MaximaSR
655770,35,1,19,NH,Nissan,Altima2dr
655916,46,1,333,SC,Nissan,Versa4dr
655926,16,1,20,IA,Nissan,Altima3.5
656024,54,1,22,WA,Nissan,AltimaCoupe
656040,6,1,154,CO,Nissan,MaximaSL
656092,34,1,144,NE,Nissan,LEAFSV
656277,57,1,161,WY,Nissan,MuranoAWD
656520,45,1,166,RI,Nissan,MuranoSV
656571,23,1,166,MA,Nissan,MuranoSV
656668,7,1,153,CT,Nissan,MaximaS
656695,0,1,151,AK,Nissan,Maxima4dr
656726,34,1,164,NE,Nissan,MuranoS
656742,45,1,144,RI,Nissan,LEAFSV
656761,57,1,20,WY,Nissan,Altima3.5
656767,3,1,166,AZ,Nissan,MuranoSV
656784,47,1,332,SD,Nissan,Versa1.6
656786,13,1,18,GA,Nissan,Altima2017.5
656821,7,1,165,CT,Nissan,MuranoSL
656946,22,1,142,LA,Nissan,LEAFS
657001,26,1,169,MI,Nissan,NV200
657013,42,1,153,OR,Nissan,MaximaS
657153,28,1,141,MO,Nissan,LEAF4dr
657224,20,1,334,KS,Nissan,Versa5dr
657247,55,1,166,WI,Nissan,MuranoSV
657274,16,1,162,IA,Nissan,MuranoFWD
657401,55,1,142,WI,Nissan,LEAFS
657444,10,1,333,DE,Nissan,Versa4dr
657459,21,1,333,KY,Nissan,Versa4dr
657634,55,1,18,WI,Nissan,Altima2017.5
657653,22,1,18,LA,Nissan,Altima2017.5
657797,20,1,155,KS,Nissan,MaximaSR
657801,17,1,142,ID,Nissan,LEAFS
657861,16,1,142,IA,Nissan,LEAFS
657893,45,1,333,RI,Nissan,Versa4dr
657920,20,1,143,KS,Nissan,LEAFSL
657987,17,1,163,ID,Nissan,MuranoLE
658064,37,1,165,NM,Nissan,MuranoSL
658082,42,1,166,OR,Nissan,MuranoSV
658085,51,1,166,VA,Nissan,MuranoSV
658218,58,1,159,ga,Nissan,Murano2WD
658246,28,1,160,MO,Nissan,Murano4dr
658253,27,1,166,MN,Nissan,MuranoSV
658420,21,1,166,KY,Nissan,MuranoSV
658566,41,1,158,OK,Nissan,Murano2017.5
658749,35,1,159,NH,Nissan,Murano2WD
658774,51,1,165,VA,Nissan,MuranoSL
658897,52,1,266,VT,Nissan,Sentra4dr
658997,1,1,142,AL,Nissan,LEAFS
659143,25,1,155,ME,Nissan,MaximaSR
659151,35,1,153,NH,Nissan,MaximaS
659351,38,1,156,NV,Nissan,MaximaSV
659474,15,1,163,HI,Nissan,MuranoLE
659495,39,1,166,NY,Nissan,MuranoSV
659564,37,1,164,NM,Nissan,MuranoS
659671,36,1,166,NJ,Nissan,MuranoSV
660099,28,1,166,MO,Nissan,MuranoSV
660253,3,1,169,AZ,Nissan,NV200
660293,19,1,313,IN,Nissan,Titan2WD
660398,6,1,141,CO,Nissan,LEAF4dr
660531,33,1,160,ND,Nissan,Murano4dr
660557,34,1,156,NE,Nissan,MaximaSV
660614,16,1,333,IA,Nissan,Versa4dr
660631,13,1,318,GA,Nissan,TitanSingle
660644,46,1,153,SC,Nissan,MaximaS
660654,29,1,155,MS,Nissan,MaximaSR
660692,25,1,156,ME,Nissan,MaximaSV
660733,19,1,156,IN,Nissan,MaximaSV
660749,56,1,20,WV,Nissan,Altima3.5
660903,12,1,21,Fl,Nissan,Altima4dr
660919,38,1,155,NV,Nissan,MaximaSR
660988,29,1,258,MS,Nissan,RogueAWD
661005,27,1,143,MN,Nissan,LEAFSL
661006,37,1,154,NM,Nissan,MaximaSL
661390,21,1,160,KY,Nissan,Murano4dr
661622,37,1,166,NM,Nissan,MuranoSV
661624,53,1,331,Va,Nissan,Versa
661702,41,1,156,OK,Nissan,MaximaSV
661870,39,1,313,NY,Nissan,Titan2WD
662063,47,1,156,SD,Nissan,MaximaSV
662089,52,1,258,VT,Nissan,RogueAWD
662138,41,1,144,OK,Nissan,LEAFSV
662216,26,1,160,MI,Nissan,Murano4dr
662255,22,1,169,LA,Nissan,NV200
662444,34,1,162,NE,Nissan,MuranoFWD
662699,48,1,256,TN,Nissan,Rogue2017.5
662766,33,1,260,ND,Nissan,RogueS
662893,2,1,166,AR,Nissan,MuranoSV
663025,56,1,155,WV,Nissan,MaximaSR
663060,29,1,142,MS,Nissan,LEAFS
663082,12,1,331,Fl,Nissan,Versa
663095,25,1,259,ME,Nissan,RogueFWD
663171,56,1,258,WV,Nissan,RogueAWD
663285,24,1,318,MD,Nissan,TitanSingle
663333,2,1,165,AR,Nissan,MuranoSL
663639,52,1,262,VT,Nissan,RogueSV
663741,50,1,141,UT,Nissan,LEAF4dr
663896,17,1,156,ID,Nissan,MaximaSV
663911,2,1,163,AR,Nissan,MuranoLE
664007,48,1,158,TN,Nissan,Murano2017.5
664412,3,1,165,AZ,Nissan,MuranoSL
664472,22,1,165,LA,Nissan,MuranoSL
664526,36,1,191,NJ,Nissan,Pathfinder2WD
664586,16,1,165,IA,Nissan,MuranoSL
664613,19,1,144,IN,Nissan,LEAFSV
664733,39,1,259,NY,Nissan,RogueFWD
664946,38,1,144,NV,Nissan,LEAFSV
664956,55,1,155,WI,Nissan,MaximaSR
664971,31,1,262,Md,Nissan,RogueSV
664979,1,1,318,AL,Nissan,TitanSingle
665130,55,1,153,WI,Nissan,MaximaS
665156,15,1,316,HI,Nissan,TitanKing
665194,58,1,262,ga,Nissan,RogueSV
665198,19,1,160,IN,Nissan,Murano4dr
665337,36,1,268,NJ,Nissan,SentraNISMO
665478,24,1,143,MD,Nissan,LEAFSL
665548,36,1,158,NJ,Nissan,Murano2017.5
665573,29,1,333,MS,Nissan,Versa4dr
665721,40,1,226,OH,Nissan,QuestS
665837,27,1,259,MN,Nissan,RogueFWD
665925,51,1,169,VA,Nissan,NV200
665978,22,1,163,LA,Nissan,MuranoLE
666153,50,1,334,UT,Nissan,Versa5dr
666207,34,1,259,NE,Nissan,RogueFWD
666359,45,1,152,RI,Nissan,MaximaPlatinum
666378,27,1,104,MN,Nissan,FrontierKing
666468,32,1,163,NC,Nissan,MuranoLE
666521,37,1,259,NM,Nissan,RogueFWD
666537,20,1,256,KS,Nissan,Rogue2017.5
666573,20,1,163,KS,Nissan,MuranoLE
666586,12,1,162,Fl,Nissan,MuranoFWD
666608,23,1,259,MA,Nissan,RogueFWD
666891,45,1,155,RI,Nissan,MaximaSR
667128,18,1,257,IL,Nissan,Rogue4DR
667427,37,1,141,NM,Nissan,LEAF4dr
667450,10,1,23,DE,Nissan,AltimaSedan
667498,19,1,143,IN,Nissan,LEAFSL
667527,7,1,256,CT,Nissan,Rogue2017.5
667690,35,1,226,NH,Nissan,QuestS
667830,2,1,223,AR,Nissan,Quest4dr
667864,27,1,101,MN,Nissan,Frontier2WD
667871,45,1,226,RI,Nissan,QuestS
667888,19,1,164,IN,Nissan,MuranoS
667978,1,1,164,AL,Nissan,MuranoS
668204,23,1,226,MA,Nissan,QuestS
668211,51,1,158,VA,Nissan,Murano2017.5
668243,55,1,0,WI,Nissan,350Z2dr
668307,41,1,136,OK,Nissan,JUKEFWD
668310,48,1,163,TN,Nissan,MuranoLE
668527,34,1,154,NE,Nissan,MaximaSL
668665,46,1,143,SC,Nissan,LEAFSL
668850,34,1,226,NE,Nissan,QuestS
668872,27,1,165,MN,Nissan,MuranoSL
668875,46,1,256,SC,Nissan,Rogue2017.5
668900,33,1,139,ND,Nissan,JUKESL
668909,30,1,270,MT,Nissan,SentraSL
668959,28,1,163,MO,Nissan,MuranoLE
669210,46,1,136,SC,Nissan,JUKEFWD
669270,17,1,228,ID,Nissan,QuestSV
669438,28,1,313,MO,Nissan,Titan2WD
669591,16,1,164,IA,Nissan,MuranoS
669618,10,1,228,DE,Nissan,QuestSV
669738,24,1,158,MD,Nissan,Murano2017.5
669812,54,1,226,WA,Nissan,QuestS
669948,23,1,256,MA,Nissan,Rogue2017.5
669978,26,1,338,MI,Nissan,Xterra2WD
670113,42,1,259,OR,Nissan,RogueFWD
670128,27,1,140,MN,Nissan,JUKESV
670135,40,1,163,OH,Nissan,MuranoLE
670182,36,1,162,NJ,Nissan,MuranoFWD
670254,48,1,143,TN,Nissan,LEAFSL
670263,30,1,199,MT,Nissan,PathfinderSL
670308,27,1,163,MN,Nissan,MuranoLE
670385,8,1,161,Ca,Nissan,MuranoAWD
670445,50,1,358,UT,Nissan,cubeS
670492,35,1,228,NH,Nissan,QuestSV
670518,30,1,155,MT,Nissan,MaximaSR
670710,2,1,160,AR,Nissan,Murano4dr
670778,11,1,317,FL,Nissan,TitanSE
670936,45,1,197,RI,Nissan,PathfinderS
671011,25,1,192,ME,Nissan,Pathfinder4WD
671152,37,1,143,NM,Nissan,LEAFSL
671179,6,1,105,CO,Nissan,FrontierS
671370,2,1,225,AR,Nissan,QuestPlatinum
671401,26,1,138,MI,Nissan,JUKES
671405,52,1,223,VT,Nissan,Quest4dr
671431,56,1,151,WV,Nissan,Maxima4dr
671473,37,1,316,NM,Nissan,TitanKing
671539,23,1,316,MA,Nissan,TitanKing
671554,37,1,339,NM,Nissan,Xterra4WD
671594,22,1,225,LA,Nissan,QuestPlatinum
671605,16,1,155,IA,Nissan,MaximaSR
671766,52,1,261,VT,Nissan,RogueSL
671821,13,1,194,GA,Nissan,PathfinderHybrid
671901,36,1,225,NJ,Nissan,QuestPlatinum
671937,22,1,316,LA,Nissan,TitanKing
671977,10,1,152,DE,Nissan,MaximaPlatinum
671996,52,1,260,VT,Nissan,RogueS
672034,57,1,223,WY,Nissan,Quest4dr
672080,34,1,0,NE,Nissan,350Z2dr
672146,44,1,163,PA,Nissan,MuranoLE
672206,6,1,190,CO,Nissan,Pathfinder
672243,26,1,223,MI,Nissan,Quest4dr
672304,42,1,138,OR,Nissan,JUKES
672306,22,1,158,LA,Nissan,Murano2017.5
672341,36,1,201,NJ,Nissan,PathfinderXE
672377,30,1,165,MT,Nissan,MuranoSL
672440,2,1,154,AR,Nissan,MaximaSL
672466,30,1,150,MT,Nissan,Maxima3.5
672505,18,1,158,IL,Nissan,Murano2017.5
672574,40,1,338,OH,Nissan,Xterra2WD
672622,1,1,140,AL,Nissan,JUKESV
672648,18,1,343,IL,Nissan,XterraX
672657,16,1,340,IA,Nissan,Xterra4dr
672769,7,1,198,CT,Nissan,PathfinderSE
672973,41,1,336,OK,Nissan,VersaSL
673031,38,1,359,NV,Nissan,cubeSL
673078,15,1,228,HI,Nissan,QuestSV
673355,45,1,357,RI,Nissan,cube5dr
673432,22,1,343,LA,Nissan,XterraX
673446,1,1,336,AL,Nissan,VersaSL
673528,20,1,0,KS,Nissan,350Z2dr
673631,28,1,340,MO,Nissan,Xterra4dr
673661,19,1,338,IN,Nissan,Xterra2WD
673750,1,1,358,AL,Nissan,cubeS
673930,16,1,100,IA,Nissan,Frontier
674028,24,1,195,MD,Nissan,PathfinderLE
674044,45,1,170,RI,Nissan,NV200S
674206,20,1,316,KS,Nissan,TitanKing
674275,26,1,170,MI,Nissan,NV200S
674299,54,1,256,WA,Nissan,Rogue2017.5
674319,24,1,340,MD,Nissan,Xterra4dr
674324,44,1,313,PA,Nissan,Titan2WD
674378,12,1,200,Fl,Nissan,PathfinderSV
674408,15,1,197,HI,Nissan,PathfinderS
674416,25,1,104,ME,Nissan,FrontierKing
674478,17,1,160,ID,Nissan,Murano4dr
674572,3,1,256,AZ,Nissan,Rogue2017.5
674581,28,1,338,MO,Nissan,Xterra2WD
674766,6,1,343,CO,Nissan,XterraX
674876,20,1,140,KS,Nissan,JUKESV
674898,3,1,158,AZ,Nissan,Murano2017.5
674970,7,1,157,CT,Nissan,Murano
675091,42,1,340,OR,Nissan,Xterra4dr
675143,52,1,140,VT,Nissan,JUKESV
675176,10,1,332,DE,Nissan,Versa1.6
675268,40,1,359,OH,Nissan,cubeSL
675288,26,1,228,MI,Nissan,QuestSV
675414,38,1,313,NV,Nissan,Titan2WD
675486,15,1,30,HI,Nissan,ArmadaSE
675500,10,1,140,DE,Nissan,JUKESV
675623,18,1,318,IL,Nissan,TitanSingle
675772,18,1,338,IL,Nissan,Xterra2WD
675782,42,1,313,OR,Nissan,Titan2WD
675796,34,1,318,NE,Nissan,TitanSingle
675844,7,1,224,CT,Nissan,QuestLE
676006,25,1,342,ME,Nissan,XterraS
676017,14,1,261,Ga,Nissan,RogueSL
676127,55,1,198,WI,Nissan,PathfinderSE
676177,46,1,192,SC,Nissan,Pathfinder4WD
676232,25,1,226,ME,Nissan,QuestS
676246,46,1,342,SC,Nissan,XterraS
676342,32,1,136,NC,Nissan,JUKEFWD
676418,14,1,343,Ga,Nissan,XterraX
676639,34,1,343,NE,Nissan,XterraX
676791,45,1,342,RI,Nissan,XterraS
676826,6,1,201,CO,Nissan,PathfinderXE
676975,40,1,343,OH,Nissan,XterraX
677006,1,1,256,AL,Nissan,Rogue2017.5
677068,41,1,338,OK,Nissan,Xterra2WD
677089,30,1,338,MT,Nissan,Xterra2WD
677098,6,1,135,CO,Nissan,JUKEAWD
677122,37,1,195,NM,Nissan,PathfinderLE
677197,33,1,197,ND,Nissan,PathfinderS
677259,54,1,135,WA,Nissan,JUKEAWD
677306,16,1,314,IA,Nissan,Titan4WD
677313,39,1,30,NY,Nissan,ArmadaSE
677340,15,1,152,HI,Nissan,MaximaPlatinum
677385,12,1,137,Fl,Nissan,JUKENISMO
677471,17,1,192,ID,Nissan,Pathfinder4WD
677517,7,1,318,CT,Nissan,TitanSingle
677563,17,1,138,ID,Nissan,JUKES
677569,50,1,227,UT,Nissan,QuestSL
677583,54,1,358,WA,Nissan,cubeS
677593,45,1,314,RI,Nissan,Titan4WD
677706,32,1,194,NC,Nissan,PathfinderHybrid
677868,48,1,225,TN,Nissan,QuestPlatinum
677910,35,1,100,NH,Nissan,Frontier
677966,55,1,135,WI,Nissan,JUKEAWD
677988,57,1,134,WY,Nissan,JUKE5dr
677997,29,1,256,MS,Nissan,Rogue2017.5
678056,40,1,198,OH,Nissan,PathfinderSE
678091,37,1,162,NM,Nissan,MuranoFWD
678189,17,1,162,ID,Nissan,MuranoFWD
678221,29,1,158,MS,Nissan,Murano2017.5
678273,27,1,256,MN,Nissan,Rogue2017.5
678279,21,1,101,KY,Nissan,Frontier2WD
678332,56,1,228,WV,Nissan,QuestSV
678377,16,1,140,IA,Nissan,JUKESV
678416,25,1,134,ME,Nissan,JUKE5dr
678520,17,1,197,ID,Nissan,PathfinderS
678552,18,1,341,IL,Nissan,XterraPRO-4X
678580,13,1,158,GA,Nissan,Murano2017.5
678591,28,1,358,MO,Nissan,cubeS
678600,36,1,135,NJ,Nissan,JUKEAWD
678654,16,1,138,IA,Nissan,JUKES
678694,28,1,170,MO,Nissan,NV200S
678710,16,1,198,IA,Nissan,PathfinderSE
678727,13,1,224,GA,Nissan,QuestLE
678814,55,1,170,WI,Nissan,NV200S
678869,7,1,175,CT,Nissan,NVP3500
678964,3,1,157,AZ,Nissan,Murano
679021,19,1,342,IN,Nissan,XterraS
679031,28,1,30,MO,Nissan,ArmadaSE
679064,2,1,357,AR,Nissan,cube5dr
679074,34,1,357,NE,Nissan,cube5dr
679096,34,1,139,NE,Nissan,JUKESL
679120,52,1,342,VT,Nissan,XterraS
679126,34,1,256,NE,Nissan,Rogue2017.5
679179,23,1,227,MA,Nissan,QuestSL
679216,3,1,358,AZ,Nissan,cubeS
679240,29,1,138,MS,Nissan,JUKES
679257,30,1,261,MT,Nissan,RogueSL
679399,28,1,195,MO,Nissan,PathfinderLE
679534,7,1,313,CT,Nissan,Titan2WD
679556,40,1,170,OH,Nissan,NV200S
679712,35,1,137,NH,Nissan,JUKENISMO
679730,20,1,227,KS,Nissan,QuestSL
679817,26,1,134,MI,Nissan,JUKE5dr
679877,48,1,195,TN,Nissan,PathfinderLE
679905,50,1,135,UT,Nissan,JUKEAWD
679966,32,1,190,NC,Nissan,Pathfinder
679973,23,1,135,MA,Nissan,JUKEAWD
680044,41,1,157,OK,Nissan,Murano
680068,39,1,190,NY,Nissan,Pathfinder
680077,17,1,342,ID,Nissan,XterraS
680431,52,1,139,VT,Nissan,JUKESL
680445,5,1,30,CA,Nissan,ArmadaSE
680500,55,1,171,WI,Nissan,NV200SV
680589,29,1,170,MS,Nissan,NV200S
680637,2,1,224,AR,Nissan,QuestLE
680664,22,1,358,LA,Nissan,cubeS
680742,36,1,357,NJ,Nissan,cube5dr
680871,9,1,340,DC,Nissan,Xterra4dr
680930,45,1,199,RI,Nissan,PathfinderSL
681044,47,1,255,SD,Nissan,Rogue
681071,2,1,313,AR,Nissan,Titan2WD
681082,3,1,359,AZ,Nissan,cubeSL
681097,56,1,342,WV,Nissan,XterraS
681181,30,1,223,MT,Nissan,Quest4dr
681216,44,1,357,PA,Nissan,cube5dr
681231,16,1,139,IA,Nissan,JUKESL
681264,0,1,339,AK,Nissan,Xterra4WD
681266,32,1,135,NC,Nissan,JUKEAWD
681279,15,1,227,HI,Nissan,QuestSL
681324,20,1,340,KS,Nissan,Xterra4dr
681392,9,1,151,DC,Nissan,Maxima4dr
681414,27,1,32,MN,Nissan,ArmadaSV
681439,6,1,338,CO,Nissan,Xterra2WD
681586,35,1,316,NH,Nissan,TitanKing
681646,44,1,27,PA,Nissan,ArmadaLE
681678,54,1,342,WA,Nissan,XterraS
681759,0,1,101,AK,Nissan,Frontier2WD
681881,38,1,171,NV,Nissan,NV200SV
681929,40,1,316,OH,Nissan,TitanKing
681955,15,1,314,HI,Nissan,Titan4WD
681961,17,1,139,ID,Nissan,JUKESL
682021,56,1,269,WV,Nissan,SentraS
682061,34,1,170,NE,Nissan,NV200S
682092,38,1,198,NV,Nissan,PathfinderSE
682123,28,1,342,MO,Nissan,XterraS
682124,15,1,192,HI,Nissan,Pathfinder4WD
682194,39,1,167,NY,Nissan,NV
682204,7,1,227,CT,Nissan,QuestSL
682233,57,1,104,WY,Nissan,FrontierKing
682294,19,1,340,IN,Nissan,Xterra4dr
682342,50,1,343,UT,Nissan,XterraX
682346,17,1,134,ID,Nissan,JUKE5dr
682357,25,1,314,ME,Nissan,Titan4WD
682360,24,1,357,MD,Nissan,cube5dr
682416,37,1,137,NM,Nissan,JUKENISMO
682681,39,1,170,NY,Nissan,NV200S
682743,46,1,339,SC,Nissan,Xterra4WD
682755,39,1,171,NY,Nissan,NV200SV
682781,2,1,22,AR,Nissan,AltimaCoupe
682846,51,1,135,VA,Nissan,JUKEAWD
683019,1,1,170,AL,Nissan,NV200S
683161,54,1,194,WA,Nissan,PathfinderHybrid
683185,22,1,157,LA,Nissan,Murano
683335,37,1,153,NM,Nissan,MaximaS
683345,15,1,153,HI,Nissan,MaximaS
683369,57,1,200,WY,Nissan,PathfinderSV
683403,27,1,157,MN,Nissan,Murano
683478,24,1,25,MD,Nissan,Armada2WD
683486,23,1,30,MA,Nissan,ArmadaSE
683505,17,1,171,ID,Nissan,NV200SV
683559,50,1,158,UT,Nissan,Murano2017.5
683572,19,1,165,IN,Nissan,MuranoSL
683583,37,1,338,NM,Nissan,Xterra2WD
683903,57,1,158,WY,Nissan,Murano2017.5
683928,19,1,30,IN,Nissan,ArmadaSE
683934,10,1,315,DE,Nissan,TitanCrew
683980,55,1,191,WI,Nissan,Pathfinder2WD
684103,54,1,227,WA,Nissan,QuestSL
684215,44,1,359,PA,Nissan,cubeSL
684302,45,1,104,RI,Nissan,FrontierKing
684336,50,1,195,UT,Nissan,PathfinderLE
684401,22,1,102,LA,Nissan,Frontier4WD
684409,21,1,336,KY,Nissan,VersaSL
684595,55,1,195,WI,Nissan,PathfinderLE
684657,36,1,227,NJ,Nissan,QuestSL
684674,13,1,343,GA,Nissan,XterraX
684786,25,1,199,ME,Nissan,PathfinderSL
684831,1,1,195,AL,Nissan,PathfinderLE
684979,28,1,198,MO,Nissan,PathfinderSE
685025,17,1,2,ID,Nissan,370ZCoupe
685042,55,1,30,WI,Nissan,ArmadaSE
685053,46,1,227,SC,Nissan,QuestSL
685144,20,1,201,KS,Nissan,PathfinderXE
685149,22,1,32,LA,Nissan,ArmadaSV
685437,13,1,166,GA,Nissan,MuranoSV
685528,18,1,194,IL,Nissan,PathfinderHybrid
685543,56,1,358,WV,Nissan,cubeS
685593,22,1,224,LA,Nissan,QuestLE
685649,42,1,336,OR,Nissan,VersaSL
685733,29,1,136,MS,Nissan,JUKEFWD
685789,44,1,190,PA,Nissan,Pathfinder
685806,46,1,198,SC,Nissan,PathfinderSE
685810,31,1,19,Md,Nissan,Altima2dr
685845,40,1,30,OH,Nissan,ArmadaSE
685858,54,1,25,WA,Nissan,Armada2WD
685895,22,1,171,LA,Nissan,NV200SV
686110,23,1,341,MA,Nissan,XterraPRO-4X
686145,57,1,270,WY,Nissan,SentraSL
686184,1,1,201,AL,Nissan,PathfinderXE
686211,30,1,139,MT,Nissan,JUKESL
686221,50,1,30,UT,Nissan,ArmadaSE
686252,36,1,27,NJ,Nissan,ArmadaLE
686295,7,1,168,CT,Nissan,NV1500
686297,32,1,32,NC,Nissan,ArmadaSV
686325,48,1,157,TN,Nissan,Murano
686345,25,1,255,ME,Nissan,Rogue
686357,41,1,100,OK,Nissan,Frontier
686464,15,1,343,HI,Nissan,XterraX
686521,32,1,30,NC,Nissan,ArmadaSE
686615,32,1,176,NC,Nissan,NVPV6
686772,54,1,193,WA,Nissan,Pathfinder4dr
686820,10,1,341,DE,Nissan,XterraPRO-4X
686824,36,1,224,NJ,Nissan,QuestLE
686861,32,1,224,NC,Nissan,QuestLE
686957,38,1,26,NV,Nissan,Armada4WD
686968,46,1,168,SC,Nissan,NV1500
687001,57,1,102,WY,Nissan,Frontier4WD
687142,15,1,171,HI,Nissan,NV200SV
687173,24,1,191,MD,Nissan,Pathfinder2WD
687182,26,1,25,MI,Nissan,Armada2WD
687375,27,1,102,MN,Nissan,Frontier4WD
687448,48,1,164,TN,Nissan,MuranoS
687624,49,1,168,TX,Nissan,NV1500
687671,46,1,171,SC,Nissan,NV200SV
687688,54,1,316,WA,Nissan,TitanKing
687753,20,1,177,KS,Nissan,NVPV8
687804,26,1,175,MI,Nissan,NVP3500
687910,46,1,137,SC,Nissan,JUKENISMO
688042,16,1,27,IA,Nissan,ArmadaLE
688049,36,1,101,NJ,Nissan,Frontier2WD
688091,44,1,32,PA,Nissan,ArmadaSV
688104,27,1,194,MN,Nissan,PathfinderHybrid
688126,21,1,163,KY,Nissan,MuranoLE
688175,46,1,224,SC,Nissan,QuestLE
688209,11,1,178,FL,Nissan,NVStandard
688239,35,1,333,NH,Nissan,Versa4dr
688243,50,1,31,UT,Nissan,ArmadaSL
688428,36,1,194,NJ,Nissan,PathfinderHybrid
688474,42,1,196,OR,Nissan,PathfinderPlatinum
688490,46,1,31,SC,Nissan,ArmadaSL
688520,48,1,174,TN,Nissan,NVHigh
688523,37,1,101,NM,Nissan,Frontier2WD
688528,6,1,167,CO,Nissan,NV
688563,27,1,159,MN,Nissan,Murano2WD
688605,40,1,313,OH,Nissan,Titan2WD
688631,24,1,168,MD,Nissan,NV1500
688651,45,1,2,RI,Nissan,370ZCoupe
688675,2,1,228,AR,Nissan,QuestSV
688706,49,1,175,TX,Nissan,NVP3500
688761,36,1,143,NJ,Nissan,LEAFSL
688768,42,1,29,OR,Nissan,ArmadaPlatinum
688809,15,1,196,HI,Nissan,PathfinderPlatinum
688840,17,1,1,ID,Nissan,370Z2dr
688878,2,1,168,AR,Nissan,NV1500
688885,51,1,32,VA,Nissan,ArmadaSV
688939,29,1,312,MS,Nissan,Titan
688943,26,1,144,MI,Nissan,LEAFSV
688954,1,1,157,AL,Nissan,Murano
688978,25,1,102,ME,Nissan,Frontier4WD
688991,30,1,339,MT,Nissan,Xterra4WD
688993,50,1,194,UT,Nissan,PathfinderHybrid
689013,19,1,227,IN,Nissan,QuestSL
689076,36,1,142,NJ,Nissan,LEAFS
689111,54,1,30,WA,Nissan,ArmadaSE
689122,47,1,260,SD,Nissan,RogueS
689132,40,1,178,OH,Nissan,NVStandard
689153,40,1,158,OH,Nissan,Murano2017.5
689201,13,1,225,GA,Nissan,QuestPlatinum
689280,39,1,4,NY,Nissan,370ZRoadster
689303,48,1,24,TN,Nissan,Armada2008
689380,18,1,175,IL,Nissan,NVP3500
689382,50,1,104,UT,Nissan,FrontierKing
689398,25,1,315,ME,Nissan,TitanCrew
689480,42,1,165,OR,Nissan,MuranoSL
689554,34,1,225,NE,Nissan,QuestPlatinum
689627,38,1,341,NV,Nissan,XterraPRO-4X
689709,55,1,225,WI,Nissan,QuestPlatinum
689713,51,1,175,VA,Nissan,NVP3500
689715,34,1,163,NE,Nissan,MuranoLE
689716,26,1,159,MI,Nissan,Murano2WD
689750,16,1,163,IA,Nissan,MuranoLE
689814,12,1,1,Fl,Nissan,370Z2dr
689865,22,1,31,LA,Nissan,ArmadaSL
689887,48,1,341,TN,Nissan,XterraPRO-4X
689891,27,1,343,MN,Nissan,XterraX
689898,32,1,166,NC,Nissan,MuranoSV
689924,32,1,175,NC,Nissan,NVP3500
689990,50,1,175,UT,Nissan,NVP3500
689994,39,1,178,NY,Nissan,NVStandard
