State,StateEncode
39,NY
51,VA
54,WA
29,MS
48,TN
55,WI
49,TX
17,ID
23,MA
44,PA
7,CT
6,CO
0,AK
27,MN
33,ND
11,FL
24,MD
1,AL
15,HI
22,LA
30,MT
18,IL
50,UT
37,NM
46,SC
41,OK
53,Va
38,NV
52,VT
40,OH
31,Md
13,GA
42,OR
56,WV
14,Ga
16,IA
35,NH
25,ME
3,AZ
19,IN
20,KS
28,MO
21,KY
34,NE
57,WY
2,AR
36,NJ
5,CA
45,RI
32,NC
26,MI
58,ga
8,Ca
47,SD
4,Az
10,DE
12,Fl
43,Oh
9,DC
